names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Molitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Olerud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
